,country_name,country_id,year,v2cldiscm,v2cldiscw,v2clacfree,v2clrelig,v2clfmove,v2cldmovem,v2cldmovew,score,pan_dem
29,Burma/Myanmar,10,2019,0.999,0.781,0.25,-0.421,-0.333,-0.127,-0.305,0.8440000000000003,0.030142857142857155
30,Burma/Myanmar,10,2020,0.999,0.942,0.333,-0.341,-0.053,-0.408,-0.416,1.0560000000000003,0.03771428571428572
31,Burma/Myanmar,10,2021,-2.097,-2.422,-2.146,-0.908,-1.598,-1.598,-1.55,-12.319000000000003,-0.4399642857142858
32,Russia,11,2018,0.423,0.394,-0.43,-0.134,0.647,1.192,1.417,3.5089999999999995,0.12532142857142856
33,Russia,11,2019,0.423,0.394,-0.55,-0.173,0.647,1.192,1.417,3.3499999999999996,0.11964285714285713
34,Russia,11,2020,0.423,0.394,-0.715,-0.173,0.647,1.192,1.417,3.185,0.11375
35,Russia,11,2021,0.435,0.375,-0.913,-0.121,0.647,1.192,1.013,2.628,0.09385714285714286
36,Albania,12,2018,1.555,1.417,1.214,2.254,1.954,2.027,1.578,11.998999999999999,0.42853571428571424
37,Albania,12,2019,1.423,1.687,1.157,1.769,1.954,2.095,2.408,12.493,0.4461785714285714
38,Albania,12,2020,1.589,1.841,0.887,1.769,1.954,2.095,2.408,12.543000000000001,0.44796428571428576
39,Albania,12,2021,1.589,1.673,0.887,1.769,2.27,2.095,2.408,12.691,0.45325000000000004
40,Egypt,13,2018,-1.476,-1.206,-1.737,-0.853,-1.116,0.603,-0.466,-6.251,-0.22325
41,Egypt,13,2019,-1.558,-1.206,-1.737,-0.853,-1.116,1.218,-0.466,-5.718000000000001,-0.20421428571428574
42,Egypt,13,2020,-1.558,-1.206,-1.737,-0.364,-0.963,1.218,-0.466,-5.0760000000000005,-0.1812857142857143
43,Egypt,13,2021,-1.558,-1.206,-1.737,-0.09,-1.16,1.115,-0.466,-5.102,-0.18221428571428572
44,Yemen,14,2018,-1.338,-1.254,-2.342,-3.428,-1.762,-1.644,-2.037,-13.805,-0.4930357142857143
45,Yemen,14,2019,-1.042,-1.1,-1.805,-3.428,-1.602,-1.644,-1.901,-12.522,-0.44721428571428573
46,Yemen,14,2020,-1.001,-1.1,-1.805,-3.428,-1.871,-1.644,-2.461,-13.31,-0.47535714285714287
47,Yemen,14,2021,-0.926,-1.069,-1.805,-2.92,-1.657,-1.644,-2.037,-12.058,-0.43064285714285716
48,Colombia,15,2018,0.776,0.451,1.31,1.968,2.096,0.984,0.795,8.38,0.2992857142857143
49,Colombia,15,2019,-0.178,-0.231,0.687,1.469,1.581,0.555,0.529,4.412000000000001,0.1575714285714286
50,Colombia,15,2020,-0.397,-0.497,0.687,1.221,0.877,0.89,0.529,3.31,0.11821428571428572
51,Colombia,15,2021,-0.397,-0.274,0.58,1.221,0.877,0.89,0.34,3.2369999999999997,0.11560714285714284
52,Poland,17,2018,1.255,1.074,0.686,1.605,2.085,1.129,1.417,9.251,0.3303928571428571
53,Poland,17,2019,1.303,1.074,0.552,1.334,2.085,1.129,1.417,8.894,0.31764285714285717
54,Poland,17,2020,1.599,1.074,0.552,1.334,1.614,1.129,1.417,8.719,0.31139285714285714
55,Poland,17,2021,1.599,1.074,0.424,1.334,1.614,1.22,1.391,8.655999999999999,0.3091428571428571
56,Brazil,19,2018,1.403,1.419,1.307,1.512,2.414,1.89,1.994,11.939,0.42639285714285713
57,Brazil,19,2019,0.97,1.117,0.251,0.591,1.348,1.429,1.464,7.17,0.25607142857142856
58,Brazil,19,2020,1.063,1.117,0.196,0.591,1.348,1.429,1.464,7.208,0.25742857142857145
59,Brazil,19,2021,1.157,0.582,-0.179,0.591,1.348,1.429,1.464,6.3919999999999995,0.22828571428571426
60,United States of America,20,2018,2.392,2.129,2.886,1.971,1.74,1.64,2.078,14.836,0.5298571428571429
61,United States of America,20,2019,2.053,1.763,2.886,1.971,1.435,1.64,2.078,13.826,0.49378571428571433
62,United States of America,20,2020,2.11,1.867,2.886,1.971,1.324,1.863,2.049,14.069999999999999,0.5025
63,United States of America,20,2021,2.359,2.15,2.886,1.971,1.324,1.863,2.049,14.601999999999999,0.5215
64,Portugal,21,2018,3.029,2.885,2.745,2.733,2.688,2.297,2.461,18.837999999999997,0.6727857142857142
65,Portugal,21,2019,3.029,2.885,2.745,2.733,2.688,2.297,2.461,18.837999999999997,0.6727857142857142
66,Portugal,21,2020,3.029,2.885,2.431,1.857,1.839,2.297,2.461,16.799,0.5999642857142857
67,Portugal,21,2021,3.029,1.802,2.431,2.451,1.273,2.297,1.521,14.803999999999998,0.5287142857142857
68,El Salvador,22,2018,0.988,0.71,1.413,2.253,1.598,1.214,0.796,8.972,0.3204285714285714
69,El Salvador,22,2019,1.731,1.379,0.902,2.253,0.96,1.469,0.9,9.594000000000001,0.3426428571428572
70,El Salvador,22,2020,0.681,0.368,0.56,2.253,0.299,-0.142,-0.339,3.68,0.13142857142857142
71,El Salvador,22,2021,0.204,-0.171,0.231,2.253,0.843,-0.142,-0.339,2.8790000000000004,0.10282142857142859
72,Bangladesh,24,2018,-0.798,-0.79,-0.378,1.232,-0.354,1.565,1.104,1.581,0.05646428571428571
73,Bangladesh,24,2019,-0.798,-0.79,-0.638,1.01,-0.537,1.421,1.049,0.7169999999999999,0.025607142857142853
74,Bangladesh,24,2020,-0.798,-0.79,-0.638,1.01,-0.537,1.421,1.049,0.7169999999999999,0.025607142857142853
75,Bangladesh,24,2021,-0.798,-0.79,-0.638,1.285,-0.537,1.421,1.049,0.9919999999999998,0.03542857142857142
76,Bolivia,25,2018,1.525,0.671,1.845,2.308,0.896,1.862,1.596,10.703,0.38225
77,Bolivia,25,2019,0.719,0.363,1.695,1.529,0.854,0.847,1.528,7.535,0.2691071428571429
78,Bolivia,25,2020,0.777,0.5,0.917,1.529,0.292,0.677,0.847,5.539,0.19782142857142856
79,Bolivia,25,2021,1.397,0.905,2.53,2.221,1.184,2.056,1.976,12.268999999999998,0.43817857142857136
80,Haiti,26,2018,0.956,1.441,1.283,1.458,0.905,0.845,0.982,7.87,0.2810714285714286
81,Haiti,26,2019,1.093,1.273,1.439,1.641,0.905,1.057,1.601,9.009,0.32175000000000004
82,Haiti,26,2020,1.093,1.273,1.137,1.641,0.905,1.057,1.601,8.707,0.31096428571428575
83,Haiti,26,2021,1.093,1.273,1.137,1.641,0.689,1.204,1.242,8.279,0.2956785714285714
84,Honduras,27,2018,1.479,1.434,1.385,1.734,1.269,1.742,1.227,10.27,0.36678571428571427
85,Honduras,27,2019,1.479,1.434,1.059,1.734,1.269,1.742,1.227,9.944,0.35514285714285715
86,Honduras,27,2020,1.479,1.434,1.341,1.734,1.269,1.742,1.227,10.226,0.36521428571428577
87,Honduras,27,2021,1.721,1.669,1.341,1.734,1.46,1.742,1.227,10.894,0.38907142857142857
88,Mali,28,2018,0.699,0.683,1.119,0.415,1.401,1.104,0.78,6.2010000000000005,0.22146428571428572
89,Mali,28,2019,1.886,1.836,1.849,0.415,1.444,1.317,0.493,9.24,0.33
90,Mali,28,2020,1.886,1.412,1.849,0.415,1.444,1.317,0.493,8.816,0.3148571428571429
91,Mali,28,2021,1.886,1.412,1.849,0.415,1.062,1.317,1.11,9.051,0.32325
92,Pakistan,29,2018,0.369,0.542,-0.993,-1.28,0.71,0.425,-0.691,-0.9180000000000001,-0.03278571428571429
93,Pakistan,29,2019,0.562,0.542,-0.854,-1.183,0.71,0.425,-0.826,-0.6239999999999999,-0.02228571428571428
94,Pakistan,29,2020,0.096,0.542,-0.801,-1.459,-0.036,0.177,-0.826,-2.307,-0.08239285714285714
95,Pakistan,29,2021,0.441,0.542,-0.536,-1.459,-0.036,0.177,-0.826,-1.697,-0.06060714285714286
96,Peru,30,2018,2.457,1.851,2.136,2.21,1.884,1.535,1.475,13.548,0.4838571428571429
97,Peru,30,2019,2.457,1.851,2.136,2.21,1.884,1.535,1.475,13.548,0.4838571428571429
98,Peru,30,2020,2.457,1.851,2.04,2.21,1.884,0.524,0.695,11.661000000000001,0.4164642857142858
99,Peru,30,2021,2.457,1.616,1.337,2.21,1.884,0.524,0.695,10.722999999999999,0.3829642857142857
100,Senegal,31,2018,1.607,1.736,2.129,1.164,1.636,2.051,1.799,12.121999999999998,0.4329285714285714
101,Senegal,31,2019,1.721,1.728,2.655,0.942,1.636,1.738,1.393,11.812999999999999,0.4218928571428571
102,Senegal,31,2020,1.721,1.728,2.655,1.417,1.636,1.919,1.478,12.553999999999998,0.4483571428571428
103,Senegal,31,2021,2.068,1.728,2.655,1.417,1.923,1.97,1.478,13.239,0.4728214285714286
104,South Sudan,32,2018,-1.971,-1.341,-1.575,0.027,-1.394,-2.102,-1.457,-9.813,-0.35046428571428573
105,South Sudan,32,2019,-1.971,-0.712,-1.575,0.091,-0.712,-1.801,-1.161,-7.840999999999999,-0.2800357142857143
106,South Sudan,32,2020,-1.971,-0.92,-1.575,0.365,-1.01,-1.929,-0.957,-7.997,-0.28560714285714284
107,South Sudan,32,2021,-0.654,-1.779,-1.933,0.166,0.234,-1.305,-0.636,-5.906999999999999,-0.2109642857142857
